"","xml_link","title.x","description","show_link","number_episodes","explicit","birthday","zodiac","podcast_id","average_rating","ratings_count","categories"
"63","https://feeds.soundcloud.com/users/soundcloud:users:63476135/sounds.rss","Leaving Corporate","Greg Hickman interviews entrepreneurs who built a business on the side so that they could leave corporate on their terms. Are you ready to be inspired and learn how people just like you were able to build a business? Then you’re in the right place. Greg dives into specific tactics that allowed him to leave his six figure job to build a business and life on his own terms. Each entrepreneur shares their corporate escape plan and the many challenges they faced—money, time, mindset, relationships and sacrifices. Greg uncovers how these entrepreneurs were able to make money to replace their income, get out of debt, build an audience, create products and services and grow a business while dealing with the roller coaster of running your own business,
turning your passion into reality","http://www.greghickman.me",7,"not explicit","Tue, 12 Aug 2014 21:02:46 +0000","Leo","0f5d30b84537c43c154bc61c6bedb0c7",5,51,"business, business-careers"
"68","https://feeds.buzzsprout.com/157483.rss","Behind the Rind: The Story & Science of Cheese","Get ready to geek out about cheese! We'll explore complex aspects of cheese through the lens of history and science in this adorably short and entertaining podcast.","http://www.behindtherind.com",8,"not explicit","Mon, 12 Feb 2018 00:00:00 -0500","Aquarius","008c94c07d401e970336eda3f4b3c9c9",5,63,"society-culture, arts, arts-food"
"69","https://famousfailures.libsyn.com/rss","Famous Failures","On Famous Failures, I interview the world's most interesting people about their failures and what they learned from them.","http://famousfailures.libsyn.com/website",70,"not explicit","Tue, 30 Jan 2018 08:02:03 +0000","Aquarius","00ca4433a8480ed9b0c9badac4281d20",5,81,"education-self-improvement, business"
"70","https://shakeuplearning.libsyn.com/rss","Shake Up Learning Show","Host Kasey Bell, is an edtech leader, international speaker, author, blogger, and digital learning coach for K-12 teachers. Kasey helps teachers learn how to meaningfully integrate technology in the classroom through her expert presentations, on-air coaching calls, and powerful interviews with educational leaders and discussions with student guests. Learn how to integrate technology and digital learning tools, grow as a leader, refine your instructional strategies, and transform your classroom. Kasey is also an expert in Google for Education and G Suite tools, as well as Google Certifications. If you’re looking for PRACTICAL ideas that you can use in class tomorrow, look no further. The Shake Up Learning Show will help you become a more dynamic teacher and Shake Up Learning in your classroom!","https://shakeuplearning.com",100,"not explicit","Tue, 02 Feb 2021 08:00:00 +0000","Aquarius","0162301869bb6f4b540a5a975a44fd1f",5,79,"education-self-improvement, education, education-how-to"
"71","https://gghpod.libsyn.com/rss","Grim Grinning Hosts","Grim Grinning Hosts is a tribute to all things pop culture but mostly theme parks. From attractions, music, movies and whatever else in between, anything and everything is on the table for discussion.","http://gghpod.libsyn.com",153,"explicit","Tue, 01 May 2018 04:18:03 +0000","Taurus","02cf61534021935e46f24516c6431e93",5,55,"society-culture-places-travel, comedy, society-culture, leisure-hobbies, leisure"
"72","https://feeds.simplecast.com/ONzxkQ2a","Cauldron - A Military History Podcast","I'm Cullen Burke, and this is Cauldron - A Military History Podcast. I'll cover the significant battles in history, breaking down the vital players, weapons, methods, events, and outcomes. Let’s take a peek into the past and see what, if anything, can be learned from the most dramatic moments in our collective story. Let’s get stuck in!","https://cauldron.simplecast.com",79,"not explicit","Tue, 9 Jan 2018 16:25:10 +0000","Capricorn","02e2db6660eb1fffb56e4dbaa14794d0",5,51,"history"
"73","https://www.spreaker.com/show/2940718/episodes/feed","Attention Horrors","Listen to Donald Wood, Mike Chiari and Brandon Galvin break down the world of the macabre with a splash of humor, including serial killers, aliens, bigfoot, ghosts, magick, cryptids and so much more!","https://www.spreaker.com/show/attention-horrors",38,"explicit","Fri, 11 May 2018 20:27:28 +0000","Taurus","033d1a2527e17fff387062b2320fd128",5,85,"comedy, society-culture"
"74","https://anchor.fm/s/91c0ca9c/podcast/rss","Everyday Sublime","The Everyday Sublime podcast explores a full spectrum spirituality. Each week begins with a dharma talk, and each month Josh has an in-depth conversation with a thought leader in the field. As Stephen Batchelor says, ""the mystical does not transcend the world, but saturates it."" www.joshsummers.net","https://joshsummers.net",214,"not explicit","Mon, 26 Jun 2017 19:13:29 GMT","Cancer","036e79370a5c859f26c37c5b6ad2d111",5,79,"health-fitness-fitness, buddhism, health-fitness, health-fitness-alternative-health, religion-spirituality"
"75","https://pophealthpodcast.libsyn.com/rss","PopHealth Podcast","PopHealth Podcast is here to provide various thought leaders of population health the opportunity and platform to discuss the different dynamics of population health, care transitions, and readmission prevention","http://www.pophealthpodcast.com/",100,"not explicit","Fri, 01 Mar 2019 17:05:30 +0000","Pisces","038fcd4da9bab8d089b3b0345a61bf00",5,81,"health-fitness, health-fitness-medicine"
"76","https://anchor.fm/s/9bc46a8/podcast/rss","Mass' World","Welcome to Mass' World, this show is a personal invite into my life. 

Christ Follower | Family | Coaching | Sports

Thank you so much for listening, if you liked the podcast, please subscribe and leave a 5 star rating!

If you are interested in following me day to day you can find me on...

Twitter: @Massad14
Instagram: @Massworld14 Support this podcast: <a href=""https://podcasters.spotify.com/pod/show/massworld/support"" rel=""payment"">https://podcasters.spotify.com/pod/show/massworld/support</a>","twitter.com/massad14",19,"not explicit","Mon, 11 Mar 2019 21:21:47 GMT","Pisces","03d412ecbd697fe350e51807429796d2",5,82,"society-culture, society-culture-personal-journals"
"77","https://stickydiljoe.com/feed/podcast/","Chronicles On Tape","The Official Podcast of The Chronicles/Stickydiljoe.com","https://stickydiljoe.com",5,"explicit","Mon, 30 Sep 2019 12:50:10 +0000","Libra","0445ff423e88129fbf7dffeac84033f8",5,56,"arts-visual-arts, leisure-automotive, society-culture-personal-journals, arts, leisure, society-culture"
"78","https://inspiredmoney.libsyn.com/rss","Inspired Money","Improve your money mindset with host Andy Wang, named a top influential financial advisor by INVESTOPEDIA, as we explore positive money stories with everyone from entrepreneurs, non-profit leaders, creatives, and even a former WWE wrestler to help you get inspired, shift your perspectives on money, and achieve incredible things.

Whether you want to launch a side hustle, pay down debt, or give money to charity, listen to Inspired Money because big things begin with just a little inspiration.","http://runnymede.com/inspired-money/",278,"not explicit","Fri, 01 Sep 2017 04:53:51 +0000","Virgo","04d6a31d72474da7179eec33652b1f5b",5,61,"business-investing, business, business-entrepreneurship"
"79","https://feeds.acast.com/public/shows/5fc7c90751896362682b47af","Earth Oddity","A weekly odyssey into all the oddity planet earth has to offer. You can find us on Apple Podcast, Google Podcast, IHeartRadio, Spotify, Tunein, YouTube and all the rest.</p> <a target='_blank' rel='noopener noreferrer' href=""https://open.acast.com/public/patreon/fanSubscribe/1442972"">$5 Bucks! Get an extended show every week, exclusive show every month!</a><br /><hr><p style='color:grey; font-size:0.75em;'> Hosted on Acast. See <a style='color:grey;' target='_blank' rel='noopener noreferrer' href='https://acast.com/privacy'>acast.com/privacy</a> for more information.</p>","https://www.patreon.com/EarthOddity",267,"explicit","Sun, 07 Jan 2018 19:55:11 GMT","Capricorn","05a91610e565ac452a039933a0d5cb49",5,83,"comedy"
"80","https://feeds.castos.com/4xx8","LIFE TALKS with Stephen and Pam","LIFE TALKS are full of Life Tools that are practical & easy to understand to help you Live Life Strong! We want to encourage and help you to win at life! You were made in the image of God the Creator (Genesis 1:26), and God is 100% WINNER. You were Born to Win and Live Life Strong in the power of your True Identity. One message can change your life forever. We are excited to give you Life Tools right now and start you on the path to your destiny.   Let’s go!!
Thank you for your giving love!
www.lovegives.online 
www.stephenandpam.org 
www.lifetalkspodcast.com","https://www.stephenandpam.com",64,"not explicit","Fri, 28 Jun 2019 13:16:00 +0000","Cancer","05ba165a4b5e8b2733a608ef57e6e411",5,50,"religion-spirituality, government"
"81","https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/35a46da5-f304-4a76-8173-aeac013648f4/819e05dd-8f41-47b4-ab7b-aeac01364965/podcast.rss","Backstage: Chargers","Join Chargers Team Reporter Chris Hayre for behind-the-scenes interviews with players, coaches and front office members throughout the 2018 season.","http://www.chargers.com/",29,"not explicit","Wed, 29 Aug 2018 06:00:27 +0000","Virgo","060033b89070247cca109d369a6006e0",5,51,"sports"
"82","http://www.rebelandmuse.com/podcast?format=rss","Rebel & Muse","A yogini and a rocker fell in love. She inspired him with a passion for all things alive. Wandering with open eyes and an open heart, living free and loving hard. He inspired her with his strength and courage. To be unabashedly true to who we are, to live loud and explore, to inspire the world to live and love with his song. Together they imagined, designed, and created the life they wanted to live. Now they bring these offerings to you. Join us on this journey of life, love, music, and yoga.","http://www.rebelandmuse.com/podcast/",99,"explicit","Wed, 19 Jul 2017 21:10:32 +0000","Cancer","065929a5c87d8e719d1cd21656b48f58",5,68,"arts-performing-arts, arts, health-fitness"
"83","https://daretobelegendary.libsyn.com/rss","Dare To Be Legendary with Blake Pinsker","Over the past four years as Director of Marketing at MVMT, Blake has lead a world class marketing team, scaled a business from 1 to 100 million, and established a network of new wave disruptors. He is determined to share the best of what he's learned so you can join him on the journey to legendary status.  Each episode will extract success stories, business strategies, and mindset mastery from living legends.","https://www.instagram.com/blakeyyyp/",26,"explicit","Mon, 26 Nov 2018 05:47:13 +0000","Sagittarius","0682284acaf9405abd53b801d6b1c28a",5,52,"business, business-marketing, business-careers"
"84","https://aceweeklypodcast.libsyn.com/rss","Ace Weekly","Are you ready to become the ACE in your life? 

We live in a world that is changing faster by the day. Now more than ever, our communities yearn for REAL leadership. Ace Weekly's mission is to empower the world by equipping conscious leaders with the skills, habits and the mentality that is needed to positively influence the environments around them. Join the movement- Find a deeper level of fulfillment and learn how to dominate your field in the process.","https://www.andrewevans.io/",100,"not explicit","Mon, 22 Apr 2019 20:30:00 +0000","Taurus","07209fcbb11362d47cc5afec0865da1f",5,55,"business"
"85","https://feeds.megaphone.fm/offbook","Off Book: The Black Theatre Podcast","Go into the world of black theatre artists on this weekly podcast with a theatre journalist, an actress, & a playwright. Drew Shade, Kim Exum, & Ngozi Anyanwu are your hosts and they will most certainly be Off Book. New episodes every Monday!
	
Email: OffBook@BroadwayBlack.com
Twitter: @OffBookPodcast | @BroadwayBlack
IG: @BroadwayBlack | @OffBookPodcast
Facebook: www.facebook.com/broadwayblack2.0
www.BroadwayBlack.com","https://broadwaypodcastnetwork.com/podcast/off-book-the-black-theatre-podcast/",114,"explicit","Thu, 07 Jan 2016 15:24:00 -0000","Capricorn","08df43d00bb0988d7ff6ca711bdbf478",5,90,"arts-performing-arts, arts"
"86","https://feeds.feedburner.com/chezfondilez","Chez Fondilez","Husband and wife team Matt and Julie Fondiler are your hosts on a quest for good food, good wine, and good taste.","http://chezfondilez.com",44,"not explicit","Wed, 07 Mar 2018 01:39:23 +0000","Pisces","08eef3a94bb2ddf5403282a58148c0a4",5,68,"arts, arts-food"
"87","https://www.schooledyapod.com/full-episodes?format=RSS","Schooled Ya!","The podcast where two middle-aged teachers, dads, and hipster doofuses talk about their combined 30+ years of education experiences.","https://www.schooledyapod.com/",59,"not explicit","Tue, 03 Apr 2018 20:20:22 +0000","Aries","0abfd4cf190bca3a81b5e91bc7031db9",5,57,"comedy, education-courses, education"
"88","https://feeds.megaphone.fm/under-the-hood","Under the Hood","We’re witnessing a revolution in retail investing, and personal finance is more culturally relevant than ever before. Now, new questions are emerging about how our financial system works—and how it needs to change to better serve everyday people. In this podcast, we’re lifting the hood on the world of investing and exploring what it really means to democratize finance for all. Join Robinhood CEO and Co-Founder Vlad Tenev as he interviews the most interesting minds in money today—from YouTubers to CEOs, athletes to technologists.","Robinhood.com",11,"not explicit","Thu, 15 Apr 2021 14:06:00 -0000","Aries","0cdf8d37e23052d9df354c16f2a30821",5,90,"health-fitness, health-fitness-alternative-health, kids-family"
"89","https://lifepointchurchpodcast.podbean.com/feed/","LifePoint Church Podcast","LifePoint Church Sunday Sermons","https://lifepointchurchpodcast.podbean.com",100,"explicit","Sun, 02 May 2021 11:13:49 -0500","Taurus","0d183adcd190c871992896601b44cf72",5,53,"spirituality, religion-spirituality"
"90","https://onebillion.libsyn.com/rss","One Billion","A behind-the-scenes podcast about how change happens. One Billion features a tiny team with a big ambition: to positively impact one billion people on the planet.","http://www.civilla.com/onebillion",50,"not explicit","Mon, 20 Jun 2016 00:06:24 +0000","Gemini","0d3c1c4bd9d6067fcd7d89c602de6740",5,74,"business, business-non-profit, government"
"91","https://wellnessrevolutionaries.libsyn.com/rss","Wellness Revolutionaries","Americans have, seemingly, never been healthier and unhealthier at the same time. Despite access to healthcare and wellness services, our country struggles with a growing list of ailments. As we head into the New Year, we need a holistic picture of wellness more than ever. Join Blake Beltram as he explores the journeys of Wellness Revolutionaries—those individuals who make themselves, and the world around them, better. This podcast is produced by MINDBODY.","https://wellness-revolutionaries.com",14,"not explicit","Fri, 21 Dec 2018 00:12:41 +0000","Sagittarius","0e8b900498e0cd0f6bbc7cbd730b9a6a",5,69,"health-fitness, society-culture"
"92","https://famvestor.libsyn.com/rss","FamVestor Podcast","The FamVestor Podcast is all about Family, Finance, and Freedom. 
This weekly show will focus on creating passive income streams, being frugal, living optimally, and designing a wholesome lifestyle all for the purpose of investing in your family. 
In the first few episodes Sunny and Sunmarie Burns share about travel hacking, living for free via real estate investing, saving money, travel with kids, weddings for cheap, and lots more. 
Visit FamVestor.com","https://www.famvestor.com/",97,"not explicit","Thu, 09 May 2019 00:16:19 +0000","Taurus","0ec29914d4850d3499efa1fd8e4969fd",5,58,"kids-family, kids-family-parenting, education-self-improvement, education"
"93","https://feeds.buzzsprout.com/151672.rss","Lone Star Law & Disorder","A Texas sized true crime podcast.  Everything is bigger in Texas; but when it comes to crime--bigger doesn't always mean better.  Each episode will discuss all things Texas pertaining to crime and the legal system. But don't let that fool ya! From the solved to the unsolved, the victims to the victimizers, the wrongfully convicted to the wrong-doers, and the law-makers to the law-breakers, this podcast has got it covered.","https://www.buzzsprout.com/151672",15,"explicit","Wed, 28 Feb 2018 00:00:00 -0500","Pisces","0f8fa6f108cc2c34d22d66c8b26f29bf",5,97,"true-crime, history"
"94","https://feeds.soundcloud.com/users/soundcloud:users:239752715/sounds.rss","VagEsteem Podcast","The VagEsteem™ podcast teaches good and healthy sex through courageous conversations about love, sex, relationships, and everything in between. 

Listen to the podcast. Tell a friend. Comment. Rate it. Happy Listening!","http://www.vagesteem.com",134,"not explicit","Fri, 15 Jul 2016 04:34:19 +0000","Cancer","1078b16aa9941b0c3adfff488b8d4b7d",5,71,"comedy"
"95","https://silzero.podbean.com/feed.xml","Silhouette Zero: Star Wars Edge of the Empire Actual Play Podcast","SILHOUETTE ZERO is an actual play podcast for Fantasy Flight Games' Edge of the Empire, produced by the Ing Brothers. For more information, check out www.silzeromedia.com","https://silzero.podbean.com",182,"not explicit","Sun, 13 Mar 2016 05:33:07 +0000","Pisces","10c290c78284c482cf00cafa61695a80",5,80,"fiction, fiction-science-fiction"
"96","https://anchor.fm/s/2006890/podcast/rss","Queen Quaymo","This podcast is all about having those much needed conversations about realities of the everyday struggling African American/Minority group. We also discuss topics that promote Black Culture, Black Ownership, Black excellence,and many more! The goal is to break mental chains through the spread of knowledge/awareness in a sometimes comical yet necessary approach.. Feel free to check out website www.queenquaymo.com Support this podcast: <a href=""https://podcasters.spotify.com/pod/show/queenquaymo/support"" rel=""payment"">https://podcasters.spotify.com/pod/show/queenquaymo/support</a>","www.queenquaymo.com",158,"not explicit","Wed, 07 Mar 2018 22:19:02 GMT","Pisces","10ea6c5f4b18d9b907adf9775e39a502",5,53,"society-culture"
"97","https://feed.pippa.io/public/shows/5c34f79ed37f114336b27bcc","Be My Neighbor","<p>Hey Y’all - We're Bevin and Brittney. Welcome to “Be My Neighbor.”&nbsp;Our neighborly duties are to provide real life solutions and practices that elevate and inspire, but also remind us to not take it all too seriously.&nbsp;&nbsp;</p><br><p>We’re real life neighbors that quickly learned that you simply cannot do it on your own, living in a competitive and fast paced environment like New York City.</p><br><p>We don’t just share the sugar, we serve up the real tea. Each week, we invite you into the apartment along with our metaphorical and literal neighbors to share advice on how we get through this thing called life.&nbsp;</p><br><p>From navigating relationships to building a career, we want you to recognize and embrace the best version of YOU.&nbsp;We want you to know that your “crazy” is ok,&nbsp;and that you’re definitely not alone.&nbsp;</p><br><p>Our door is always open, and we want you to know... we’ve got your back.</p><br /><hr><p style='color:grey; font-size:0.75em;'> Hosted on Acast. See <a style='color:grey;' target='_blank' rel='noopener noreferrer' href='https://acast.com/privacy'>acast.com/privacy</a> for more information.</p>","https://bemyneighborpodcast.com/",53,"not explicit","Wed, 29 Aug 2018 18:55:09 GMT","Virgo","11bfc153384c9e46113f6571a28f7ae0",5,94,"business, health-fitness-fitness, health-fitness, business-careers"
"98","https://feeds.soundcloud.com/users/soundcloud:users:141941408/sounds.rss","Absolutely Not","A podcast for breaking down taboos and misconceptions. Follow as host Leanna Lupin interviews her hilarious and brilliant friends about everything, from sex to pop culture to race and gender.","https://soundcloud.com/leanna-sofia",10,"not explicit","Fri, 03 Jul 2020 20:39:17 +0000","Cancer","121eca9055252f69b30218d297fe8d41",5,1000,"comedy, arts, arts-performing-arts"
"99","https://feeds.captivate.fm/because-of-my-podcast/","Because of My Podcast","Because of My Podcast spotlights the achievements people are achieving. Things that only happened because they started a podcast.","http://becauseofmypodcast.com",31,"not explicit","Wed, 25 May 2016 04:07:57 -0500","Gemini","13be0d063ee91c7dc25b103d39666a70",5,68,"business-marketing, technology, business-entrepreneurship, business"
"100","https://mebeingcrafty.libsyn.com/rss","Me Being Crafty with Tsoniki Crazy Bull","Me Being Crafty is a podcast about creativity and what that means to people. Listen for stories from artists, quilt shop owners, fabric designers, quilt designers, clothing designers, musicians, and more. We'll talk about being a creative person, building a community to support you in your creative journey, stepping out of your comfort zone, working in various creative industries and more. This show is published twice a week.","http://mebeingcrafty.com",51,"not explicit","Fri, 31 Oct 2014 16:00:45 +0000","Scorpio","1431920efe96f9013110680e8fc8f455",5,61,"arts-design, leisure, arts"
"101","https://risenmotherhood.libsyn.com/rss","Risen Motherhood","A podcast for moms. Join us as we explore how the ancient scriptures apply to modern motherhood and provide the framework for finding answers to your specific questions.  As part of the greater Risen Motherhood ministry, in-depth, topical mini-series are released periodically.","http://risenmotherhood.libsyn.com/podcast",237,"not explicit","Fri, 01 Jan 2016 06:00:00 +0000","Capricorn","14b4e63814cd2312a7f32d3b3cebb2f0",5,1000,"christianity, religion-spirituality, kids-family, kids-family-parenting"
"102","https://bobheilig.libsyn.com/rss","Your Virtual Upline Podcast","Welcome to the Your Virtual Upline podcast hosted by Bob Heilig.  This weekly podcast will give you the mindset, strategies, and skills you need to build the network marketing business and life of your dreams.  

Each week Bob takes a deep dive into topics like leadership, social media, prospecting, recruiting, and so much more!  Bob is the founder of ‘The Legacy Leader Movement’, a totally new approach to building a network marketing business.  The core values that guide his work, and the messages on this podcast are - faith, love, service, and growth.  

 Join us each week and discover how to tap into the power of this purpose-driven approach to building your business!","http://bobheilig.libsyn.com/podcast",348,"not explicit","Thu, 01 Oct 2015 17:41:02 +0000","Libra","14cf6dd36a160d08ff3249a1b398c138",5,61,"education, business, business-careers, education-self-improvement"
"103","https://lordsandheroes.libsyn.com/rss","Lords & Heroes","A gamer’s journey into the Mortal Realms and the detours that happen along the way.","http://lordsandheroes.com",29,"explicit","Sat, 21 Jul 2018 22:00:00 +0000","Cancer","14f15b68b00cef3c64dd3db8180f8eff",5,72,"leisure, leisure-games, leisure-hobbies"
"104","https://hungry.libsyn.com/rss","Hungry","A podcast about food, the stories behind it, and the people who make it.","http://www.hungryradio.org",23,"not explicit","Thu, 02 Feb 2017 18:02:54 +0000","Aquarius","156dad30bd9f2800922d5584d5614c1b",5,62,"arts, arts-food, society-culture"
"105","https://fandible.com/feed/","Fandible Actual Play Podcast","An RPG actual play podcast, with geek and pop culture commentary","https://fandible.com/",600,"explicit","Fri, 26 May 2017 12:57:04 +0000","Gemini","159526c25f4c423ab20cbae176bb8d8a",5,83,"leisure, leisure-games"
"106","https://feeds.megaphone.fm/WPCM1637264939","Lunker Dogs Reel Guy show","Podcast by REEL Guys For REEL Guys. Tune in every week for topics that coverconcerns of coastal communities.","https://lunkerdogs.libsyn.com/website",222,"explicit","Tue, 05 Mar 2019 03:36:26 -0000","Pisces","15d9de071763eb15945395009b403aff",5,53,"sports-wilderness, sports"
"107","https://plantedinmiami.libsyn.com/rss","Planted in Miami","A podcast about conscious living in the Magic City.  Every other week, hosts Alex and Jeanette, interview inspiring locals pushing the city forward through their actions.  

You'll hear from entrepreneurs, activists, community leaders, athletes, chefs and more who are working hard at changing the way people view Miami.

Get behind the scenes photos, show notes, etc. at www.plantedinmiami.com. 

Connect with us:  Facebook, Twitter, and Instagram @plantedinmiami.","http://www.plantedinmiami.com",85,"not explicit","Fri, 01 May 2015 03:39:49 +0000","Taurus","15e86e0d7a1b03776e9ac84b915dfcec",5,94,"health-fitness, society-culture-personal-journals, society-culture, health-fitness-alternative-health"
"108","https://anchor.fm/s/52595068/podcast/rss","Headed Someplace","Headed Someplace is a bi-weekly podcast where strong, inspiring, enduring women share their stories with us.","https://podcasters.spotify.com/pod/show/kara-zimmerman",23,"not explicit","Fri, 15 Sep 2017 04:22:16 GMT","Virgo","16432749b9f5bdd24795978ad39a0234",5,51,"society-culture-personal-journals, religion-spirituality, christianity, society-culture"
"109","https://navneuro.libsyn.com/rss","Navigating Neuropsychology","Join John and Ryan as they explore the field of neuropsychology through the presentation of cutting edge scientific findings, discussion of important topic areas, and interviews with experts in a variety of relevant fields. The three main objectives of the podcast are to 
1) Provide interesting, relevant, and easily-accessible information for students and professionals in neuropsychology, as well as anyone who is interested in brain-behavior relationships.
2) Begin working towards unification on important areas of debate within neuropsychology, while also encouraging the expression of diverse, creative ideas and opinions. 
3) Act as an outlet for innovative ideas and breaking news in the field, to allow listeners to stay abreast of current scientific and professional developments in neuropsychology. 

Check out www.NavNeuro.com for more information about the show.","https://www.NavNeuro.com",116,"not explicit","Thu, 09 Aug 2018 01:24:07 +0000","Leo","1698bd5cece2cf0e16c406ba9774630c",5,91,"science, science-social-sciences"
